MOLECULE_NAME,MECHANISM_OF_ACTION,TARGET_NAME
Jnj-26483327,Vascular endothelial growth factor receptor 3 inhibitor,Vascular endothelial growth factor receptor 3
L-21649,Vascular endothelial growth factor receptor inhibitor,Vascular endothelial growth factor receptor
Mln-2480,RAF serine/threonine protein kinase inhibitor,RAF serine/threonine protein kinase
Pbf-509,Adenosine A2a receptor antagonist,Adenosine A2a receptor
Las190792,Beta-2 adrenergic receptor agonist,Beta-2 adrenergic receptor
Puquitinib,Vascular endothelial growth factor receptor 2 inhibitor,Vascular endothelial growth factor receptor 2
Cep-2563,Platelet-derived growth factor receptor beta inhibitor,Platelet-derived growth factor receptor beta
Equol,Estrogen receptor beta agonist,Estrogen receptor beta
Foretinib,Stem cell growth factor receptor inhibitor,Stem cell growth factor receptor
Chir-265,Vascular endothelial growth factor receptor 2 inhibitor,Vascular endothelial growth factor receptor 2
Gsk163090,Serotonin transporter antagonist,Serotonin transporter
Mk3207,Calcitonin gene-related peptide type 1 receptor antagonist,Calcitonin gene-related peptide type 1 receptor
Tecalcet,Calcium sensing receptor modulator,Calcium sensing receptor
Relcovaptan,Vasopressin V1a receptor antagonist,Vasopressin V1a receptor
Imd-1041,Inhibitor of nuclear factor kappa B kinase beta subunit inhibitor,Inhibitor of nuclear factor kappa B kinase beta subunit
Sarizotan,Dopamine D4 receptor agonist,Dopamine D4 receptor
Motesanib,Stem cell growth factor receptor inhibitor,Stem cell growth factor receptor
Berubicin,DNA topoisomerase II inhibitor,DNA topoisomerase II
Emixustat,Retinoid isomerohydrolase inhibitor,Retinoid isomerohydrolase
Baminercept,Heterotrimeric lymphotoxin LTa1b2 inhibitor,Heterotrimeric lymphotoxin LTa1b2
Conatumumab,Tumor necrosis factor receptor superfamily member 10B agonist,Tumor necrosis factor receptor superfamily member 10B
Rovelizumab,Integrin alpha-L/beta-2 (LFA-1) antagonist,Integrin alpha-L/beta-2 (LFA-1)
Mdx-210,High affinity immunoglobulin gamma Fc receptor I other,High affinity immunoglobulin gamma Fc receptor I
Opicinumab,Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 1 inhibitor,Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 1
Imagabalin,Voltage-gated calcium channel modulator,Voltage-gated calcium channel
Alprostadil,Prostanoid EP1 receptor agonist,Prostanoid EP1 receptor
Mesalamine,Arachidonate 5-lipoxygenase inhibitor,Arachidonate 5-lipoxygenase
Frovatriptan,Serotonin 1b (5-HT1b) receptor agonist,Serotonin 1b (5-HT1b) receptor
Nefazodone,Serotonin transporter inhibitor,Serotonin transporter
Teriflunomide,Dihydroorotate dehydrogenase inhibitor,Dihydroorotate dehydrogenase
Insulin Susp Protamine Zinc Purified Pork,Insulin receptor agonist,Insulin receptor
Insulin Glargine,Insulin receptor agonist,Insulin receptor
Droperidol,Serotonin 2a (5-HT2a) receptor antagonist,Serotonin 2a (5-HT2a) receptor
Dipyridamole,Equilibrative nucleoside transporter 1 inhibitor,Equilibrative nucleoside transporter 1
Fentanyl,Mu opioid receptor agonist,Mu opioid receptor
Dextroamphetamine,Norepinephrine transporter releasing agent,Norepinephrine transporter
Regorafenib,Fibroblast growth factor receptor 1 inhibitor,Fibroblast growth factor receptor 1
Danazol,Progesterone receptor agonist,Progesterone receptor
Acetohexamide,"Sulfonylurea receptor 1, Kir6.2 blocker","Sulfonylurea receptor 1, Kir6.2"
Tiagabine,GABA transporter 1 inhibitor,GABA transporter 1
Alemtuzumab,CAMPATH-1 antigen inhibitor,CAMPATH-1 antigen
Eculizumab,Complement C5 inhibitor,Complement C5
Griseofulvin,Tubulin inhibitor,Tubulin
Voriconazole,Cytochrome P450 51 inhibitor,Cytochrome P450 51
Dextroamphetamine,Synaptic vesicular amine transporter inhibitor,Synaptic vesicular amine transporter
Sorafenib,Tyrosine-protein kinase receptor RET inhibitor,Tyrosine-protein kinase receptor RET
Sunitinib,Tyrosine-protein kinase receptor RET inhibitor,Tyrosine-protein kinase receptor RET
Tositumomab,B-lymphocyte antigen CD20 inhibitor,B-lymphocyte antigen CD20
Diazepam,GABA-A receptor; anion channel positive allosteric modulator,GABA-A receptor; anion channel
Oxazepam,GABA-A receptor; anion channel positive allosteric modulator,GABA-A receptor; anion channel
Etomidate,GABA-A receptor; anion channel positive modulator,GABA-A receptor; anion channel
Flurazepam,GABA-A receptor; anion channel positive allosteric modulator,GABA-A receptor; anion channel
Triclofos,GABA-A receptor; anion channel positive modulator,GABA-A receptor; anion channel
Glycerol Phenylbutyrate,Glutamine sequestering agent,Glutamine
Cephaloglycin,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein
Basiliximab,Interleukin-2 receptor inhibitor,Interleukin-2 receptor
Oxamniquine,DNA inhibitor,DNA
Hexylcaine,Sodium channel alpha subunit blocker,Sodium channel alpha subunit
Zonisamide,Sodium channel alpha subunit blocker,Sodium channel alpha subunit
Dipivefrin,Adrenergic receptor agonist,Adrenergic receptor
Veratrum Viride,Unknown,
Phenylbutanoic Acid,Glutamine sequestering agent,Glutamine
Deferiprone,Unknown,
Afatinib,Epidermal growth factor receptor erbB1 inhibitor,Epidermal growth factor receptor erbB1
Dolutegravir,Human immunodeficiency virus type 1 integrase inhibitor,Human immunodeficiency virus type 1 integrase
Vortioxetine,Serotonin transporter inhibitor,Serotonin transporter
Mepolizumab,Interleukin-5 inhibitor,Interleukin-5
Bay-1161909,Dual specificity protein kinase TTK inhibitor,Dual specificity protein kinase TTK
Falnidamol,Epidermal growth factor receptor erbB1 inhibitor,Epidermal growth factor receptor erbB1
Cudc-101,Receptor protein-tyrosine kinase erbB-2 inhibitor,Receptor protein-tyrosine kinase erbB-2
Jnj-26483327,Epidermal growth factor receptor erbB1 inhibitor,Epidermal growth factor receptor erbB1
Am-461,G protein-coupled receptor 44 antagonist,G protein-coupled receptor 44
Bi-2536,Serine/threonine-protein kinase PLK1 inhibitor,Serine/threonine-protein kinase PLK1
Bi-811283,Serine/threonine-protein kinase Aurora-B inhibitor,Serine/threonine-protein kinase Aurora-B
Fx-005,MAP kinase p38 alpha inhibitor,MAP kinase p38 alpha
Filgotinib,Tyrosine-protein kinase JAK1 inhibitor,Tyrosine-protein kinase JAK1
Ns-018,Tyrosine-protein kinase JAK2 inhibitor,Tyrosine-protein kinase JAK2
Tak-715,MAP kinase p38 alpha inhibitor,MAP kinase p38 alpha
Ssr125543,Corticotropin releasing factor receptor 1 antagonist,Corticotropin releasing factor receptor 1
Pbf-680,Adenosine A1 receptor antagonist,Adenosine A1 receptor
Fevipiprant,G protein-coupled receptor 44 antagonist,G protein-coupled receptor 44
Sparsentan,Endothelin receptor ET-A antagonist,Endothelin receptor ET-A
Azd2516,Metabotropic glutamate receptor 5 negative allosteric modulator,Metabotropic glutamate receptor 5
Drinabant,Cannabinoid CB1 receptor antagonist,Cannabinoid CB1 receptor
Nonabine,Cannabinoid CB2 receptor agonist,Cannabinoid CB2 receptor
Selepressin,Vasopressin V1a receptor agonist,Vasopressin V1a receptor
Azd7009,HERG blocker,HERG
Pf-04531083,Sodium channel protein type X alpha subunit blocker,Sodium channel protein type X alpha subunit
Linifanib,Vascular endothelial growth factor receptor inhibitor,Vascular endothelial growth factor receptor
Quizartinib,Platelet-derived growth factor receptor inhibitor,Platelet-derived growth factor receptor
Briakinumab,Interleukin-12 subunit beta inhibitor,Interleukin-12 subunit beta
Gevokizumab,Interleukin-1 beta negative allosteric modulator,Interleukin-1 beta
Elbasvir,Nonstructural protein 5A inhibitor,Nonstructural protein 5A
Olmesartan,Type-1 angiotensin II receptor antagonist,Type-1 angiotensin II receptor
Esketamine,Glutamate [NMDA] receptor negative allosteric modulator,Glutamate [NMDA] receptor
Vinflunine,Tubulin inhibitor,Tubulin
Duvoglustat,Lysosomal alpha-glucosidase stabiliser,Lysosomal alpha-glucosidase
Niraparib,Poly [ADP-ribose] polymerase 2 inhibitor,Poly [ADP-ribose] polymerase 2
Lipegfilgrastim,Granulocyte colony stimulating factor receptor agonist,Granulocyte colony stimulating factor receptor
Talazoparib,Poly [ADP-ribose] polymerase 2 inhibitor,Poly [ADP-ribose] polymerase 2
Lumiliximab,Immunoglobulin epsilon Fc receptor antagonist,Immunoglobulin epsilon Fc receptor
Qax-576,Interleukin-13 inhibitor,Interleukin-13
Mdx-070,Glutamate carboxypeptidase II other,Glutamate carboxypeptidase II
L19il2,Fibronectin binding agent,Fibronectin
Diphenhydramine,Histamine H1 receptor antagonist,Histamine H1 receptor
Dasatinib,Tyrosine-protein kinase ABL inhibitor,Tyrosine-protein kinase ABL
Metipranolol,Beta-1 adrenergic receptor antagonist,Beta-1 adrenergic receptor
Dobutamine,Beta-1 adrenergic receptor agonist,Beta-1 adrenergic receptor
Disulfiram,Aldehyde dehydrogenase inhibitor,Aldehyde dehydrogenase
Sunitinib,Tyrosine-protein kinase receptor FLT3 inhibitor,Tyrosine-protein kinase receptor FLT3
Insulin Human,Insulin receptor agonist,Insulin receptor
Felodipine,Mineralocorticoid receptor antagonist,Mineralocorticoid receptor
Echothiophate,Acetylcholinesterase inhibitor,Acetylcholinesterase
Prednicarbate,Glucocorticoid receptor agonist,Glucocorticoid receptor
Trimipramine,Norepinephrine transporter inhibitor,Norepinephrine transporter
Zanamivir,Neuraminidase inhibitor,Neuraminidase
Elvitegravir,Human immunodeficiency virus type 1 integrase inhibitor,Human immunodeficiency virus type 1 integrase
Perampanel,Glutamate receptor ionotropic AMPA antagonist,Glutamate receptor ionotropic AMPA
Docetaxel,Tubulin inhibitor,Tubulin
Theophylline Glycinate,Phosphodiesterase 3 inhibitor,Phosphodiesterase 3
Pergolide,Dopamine receptor agonist,Dopamine receptor
Octreotide,Somatostatin receptor agonist,Somatostatin receptor
Oxymetazoline,Adrenergic receptor alpha agonist,Adrenergic receptor alpha
Isocarboxazid,Monoamine oxidase inhibitor,Monoamine oxidase
Rivastigmine,Cholinesterases; ACHE & BCHE inhibitor,Cholinesterases; ACHE & BCHE
Palivizumab,Fusion glycoprotein F0 inhibitor,Fusion glycoprotein F0
Darunavir,Human immunodeficiency virus type 1 protease inhibitor,Human immunodeficiency virus type 1 protease
Ticarcillin,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein
Cefazolin,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein
Chloramphenicol Succinic Acid,Bacterial 70S ribosome inhibitor,Bacterial 70S ribosome
Muromonab-Cd3,T cell surface glycoprotein CD3 inhibitor,T cell surface glycoprotein CD3
Ustekinumab,Interleukin-23 inhibitor,Interleukin-23
Fluorouracil,DNA inhibitor,DNA
Labetalol,Adrenergic receptor antagonist,Adrenergic receptor
Taliglucerase Alfa,Glucocerebroside hydrolytic enzyme,Glucocerebroside
Vorapaxar,Proteinase-activated receptor 1 antagonist,Proteinase-activated receptor 1
Aripiprazole Lauroxil,Dopamine D2 receptor partial agonist,Dopamine D2 receptor
Alectinib,Tyrosine-protein kinase receptor RET inhibitor,Tyrosine-protein kinase receptor RET
Glpg0492,Androgen Receptor modulator,Androgen Receptor
Azd-7451,Nerve growth factor receptor Trk-A inhibitor,Nerve growth factor receptor Trk-A
Ct-1578,Macrophage colony stimulating factor receptor inhibitor,Macrophage colony stimulating factor receptor
Pd-0166285,Fibroblast growth factor receptor 1 inhibitor,Fibroblast growth factor receptor 1
Plx-7486,NT-3 growth factor receptor inhibitor,NT-3 growth factor receptor
Brigatinib,Epidermal growth factor receptor erbB1 inhibitor,Epidermal growth factor receptor erbB1
At-9283,Tyrosine-protein kinase ABL inhibitor,Tyrosine-protein kinase ABL
Pelitinib,Epidermal growth factor receptor erbB1 inhibitor,Epidermal growth factor receptor erbB1
Abemaciclib,Cyclin-dependent kinase 4 inhibitor,Cyclin-dependent kinase 4
Ly2624803,Histamine H1 receptor antagonist,Histamine H1 receptor
Itacitinib,Tyrosine-protein kinase JAK1 inhibitor,Tyrosine-protein kinase JAK1
Mf101,Estrogen receptor beta agonist,Estrogen receptor beta
Obeticholic Acid,Bile acid receptor FXR agonist,Bile acid receptor FXR
Bardoxolone Methyl,Peroxisome proliferator-activated receptor gamma antagonist,Peroxisome proliferator-activated receptor gamma
Tigatuzumab,Tumor necrosis factor receptor superfamily member 10B agonist,Tumor necrosis factor receptor superfamily member 10B
Remogliflozin Etabonate,Sodium/glucose cotransporter 2 inhibitor,Sodium/glucose cotransporter 2
Tirasemtiv,Fast skeletal troponin complex activator,Fast skeletal troponin complex
Caplacizumab,von Willebrand factor inhibitor,von Willebrand factor
Teprotumumab,Insulin-like growth factor I receptor antagonist,Insulin-like growth factor I receptor
Ficlatuzumab,Hepatocyte growth factor inhibitor,Hepatocyte growth factor
Mk-2201,Serine/threonine-protein kinase AKT inhibitor,Serine/threonine-protein kinase AKT
Tranexamic Acid,Plasminogen inhibitor,Plasminogen
Valrubicin,DNA topoisomerase II alpha inhibitor,DNA topoisomerase II alpha
Levocetirizine,Histamine H1 receptor antagonist,Histamine H1 receptor
Lapatinib,Epidermal growth factor receptor erbB1 inhibitor,Epidermal growth factor receptor erbB1
Isopropamide,Muscarinic acetylcholine receptor M1 antagonist,Muscarinic acetylcholine receptor M1
Scopolamine,Muscarinic acetylcholine receptor M1 antagonist,Muscarinic acetylcholine receptor M1
Dasatinib,Stem cell growth factor receptor inhibitor,Stem cell growth factor receptor
Tinzaparin Sodium,Antithrombin-III activator,Antithrombin-III
Metyrosine,Tyrosine 3-hydroxylase inhibitor,Tyrosine 3-hydroxylase
Insulin Zinc Susp Purified Pork,Insulin receptor agonist,Insulin receptor
Meperidine,Mu opioid receptor agonist,Mu opioid receptor
Betamethasone Phosphoric Acid,Glucocorticoid receptor agonist,Glucocorticoid receptor
Drotrecogin Alfa (Activated),Coagulation factor VIII inhibitor,Coagulation factor VIII
Crizotinib,ALK tyrosine kinase receptor inhibitor,ALK tyrosine kinase receptor
Tirofiban,Integrin alpha-IIb/beta-3 inhibitor,Integrin alpha-IIb/beta-3
Pentolinium,Neuronal acetylcholine receptor; alpha3/beta4 antagonist,Neuronal acetylcholine receptor; alpha3/beta4
Nilutamide,Androgen Receptor antagonist,Androgen Receptor
Anidulafungin,"1,3-beta-glucan synthase inhibitor","1,3-beta-glucan synthase"
Cobicistat,Cytochrome P450 3A inhibitor,Cytochrome P450 3A
Belimumab,Tumor necrosis factor ligand superfamily member 13B inhibitor,Tumor necrosis factor ligand superfamily member 13B
Methicillin,Penicillin-binding protein inhibitor,Penicillin-binding protein
Ritonavir,Human immunodeficiency virus type 1 protease inhibitor,Human immunodeficiency virus type 1 protease
Cefadroxil,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein
Doxorubicin,DNA inhibitor,DNA
Protamine Sulfate,Heparin inhibitor,Heparin
Sevoflurane,Potassium channel subfamily K member 2 opener,Potassium channel subfamily K member 2
Viomycin,70S ribosome inhibitor,70S ribosome
Tobramycin,70S ribosome inhibitor,70S ribosome
Laronidase,Dermatan sulfate hydrolytic enzyme,Dermatan sulfate
Sulfabenzamide,Unknown,
Dipyridamole,"3',5'-cyclic phosphodiesterase inhibitor","3',5'-cyclic phosphodiesterase"
Dronedarone,Inward rectifier potassium channel 2 blocker,Inward rectifier potassium channel 2
Pf-05019702,Progesterone receptor antagonist,Progesterone receptor
Cerdulatinib,Tyrosine-protein kinase JAK3 inhibitor,Tyrosine-protein kinase JAK3
Bay-1082439,PI3-kinase p110-beta subunit inhibitor,PI3-kinase p110-beta subunit
Hmpl-523,Tyrosine-protein kinase SYK inhibitor,Tyrosine-protein kinase SYK
Pf-03758309,Serine/threonine-protein kinase PAK 4 inhibitor,Serine/threonine-protein kinase PAK 4
Pha-543613,Neuronal acetylcholine receptor protein alpha-7 subunit agonist,Neuronal acetylcholine receptor protein alpha-7 subunit
Org-34517,Glucocorticoid receptor antagonist,Glucocorticoid receptor
Cc-401,c-Jun N-terminal kinase 3 inhibitor,c-Jun N-terminal kinase 3
Tanzisertib,c-Jun N-terminal kinase 2 inhibitor,c-Jun N-terminal kinase 2
E-6201,Dual specificity mitogen-activated protein kinase kinase 1 inhibitor,Dual specificity mitogen-activated protein kinase kinase 1
Batefenterol,Muscarinic acetylcholine receptor M2 antagonist,Muscarinic acetylcholine receptor M2
Abt-288,Histamine H3 receptor antagonist,Histamine H3 receptor
Asp7991,Calcium sensing receptor positive allosteric modulator,Calcium sensing receptor
Amp579,Adenosine A2a receptor agonist,Adenosine A2a receptor
Dwp05195,Vanilloid receptor antagonist,Vanilloid receptor
Quizartinib,Macrophage colony stimulating factor receptor inhibitor,Macrophage colony stimulating factor receptor
Clazosentan,Endothelin receptor ET-A antagonist,Endothelin receptor ET-A
Iti-007,Serotonin transporter inhibitor,Serotonin transporter
Abagovomab,Mucin-16 other,Mucin-16
Tedisamil,Voltage-gated potassium channel blocker,Voltage-gated potassium channel
Retaspimycin,Heat shock protein HSP90 inhibitor,Heat shock protein HSP90
Elobixibat,Ileal bile acid transporter inhibitor,Ileal bile acid transporter
Bexagliflozin,Sodium/glucose cotransporter 2 inhibitor,Sodium/glucose cotransporter 2
Nivocasan,Caspase-1 inhibitor,Caspase-1
Blisibimod,Tumor necrosis factor ligand superfamily member 13B inhibitor,Tumor necrosis factor ligand superfamily member 13B
Olaratumab,Platelet-derived growth factor receptor alpha antagonist,Platelet-derived growth factor receptor alpha
Benralizumab,Interleukin-5 receptor subunit alpha inhibitor,Interleukin-5 receptor subunit alpha
Acrivastine,Histamine H1 receptor antagonist,Histamine H1 receptor
Biperiden,Muscarinic acetylcholine receptor M1 antagonist,Muscarinic acetylcholine receptor M1
Hydrochlorothiazide,Thiazide-sensitive sodium-chloride cotransporter inhibitor,Thiazide-sensitive sodium-chloride cotransporter
Vasopressin Tannate,Vasopressin V1a receptor agonist,Vasopressin V1a receptor
Chlorprothixene,Serotonin 2a (5-HT2a) receptor antagonist,Serotonin 2a (5-HT2a) receptor
Pegfilgrastim,Granulocyte colony stimulating factor receptor agonist,Granulocyte colony stimulating factor receptor
Demecarium,Acetylcholinesterase inhibitor,Acetylcholinesterase
Hydrocortisone Phosphoric Acid,Glucocorticoid receptor agonist,Glucocorticoid receptor
Dabrafenib,Serine/threonine-protein kinase B-raf inhibitor,Serine/threonine-protein kinase B-raf
"Synthetic Conjugated Estrogens, B",Estrogen receptor agonist,Estrogen receptor
Hydrocodone,Opioid receptors; mu/kappa/delta agonist,Opioid receptors; mu/kappa/delta
Ixabepilone,Tubulin inhibitor,Tubulin
Isoproterenol,Adrenergic receptor beta agonist,Adrenergic receptor beta
Clonidine,Adrenergic receptor alpha-2 agonist,Adrenergic receptor alpha-2
Pramlintide,Amylin receptor AMY3; CALCR/RAMP3 agonist,Amylin receptor AMY3; CALCR/RAMP3
Pazopanib,Vascular endothelial growth factor receptor inhibitor,Vascular endothelial growth factor receptor
Micafungin,"1,3-beta-glucan synthase inhibitor","1,3-beta-glucan synthase"
Ticlopidine,Purinergic receptor P2Y12 antagonist,Purinergic receptor P2Y12
Butabarbital,GABA-A receptor; anion channel positive allosteric modulator,GABA-A receptor; anion channel
Streptomycin,Bacterial 70S ribosome inhibitor,Bacterial 70S ribosome
Sargramostim,Granulocyte-macrophage colony-stimulating factor receptor agonist,Granulocyte-macrophage colony-stimulating factor receptor
Epirubicin,DNA inhibitor,DNA
Oxaliplatin,DNA inhibitor,DNA
Enoxacin,DNA gyrase inhibitor,DNA gyrase
Pentamidine,DNA inhibitor,DNA
Omega-3-Acid Ethyl Esters,Unknown,
Ivabradine,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4 blocker,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4
Eluxadoline,Mu opioid receptor agonist,Mu opioid receptor
Elotuzumab,SLAM family member 7 inhibitor,SLAM family member 7
Azd-6482,PI3-kinase class I inhibitor,PI3-kinase class I
Bgb-283,Serine/threonine-protein kinase B-raf inhibitor,Serine/threonine-protein kinase B-raf
Cudc-101,Histone deacetylase inhibitor,Histone deacetylase
Jnj-26483327,Tyrosine-protein kinase SRC inhibitor,Tyrosine-protein kinase SRC
R-348,Tyrosine-protein kinase JAK3 inhibitor,Tyrosine-protein kinase JAK3
Sar-125844,Hepatocyte growth factor receptor inhibitor,Hepatocyte growth factor receptor
Ta-5493,MAP kinase p38 alpha inhibitor,MAP kinase p38 alpha
Vs-5584,Serine/threonine-protein kinase mTOR inhibitor,Serine/threonine-protein kinase mTOR
Vantictumab,Frizzled-8 antagonist,Frizzled-8
Xen403,Sodium channel protein type IX alpha subunit blocker,Sodium channel protein type IX alpha subunit
Anlotinib,Vascular endothelial growth factor receptor 3 inhibitor,Vascular endothelial growth factor receptor 3
At-9283,Tyrosine-protein kinase receptor FLT3 inhibitor,Tyrosine-protein kinase receptor FLT3
Azd-1480,Tyrosine-protein kinase JAK2 inhibitor,Tyrosine-protein kinase JAK2
C-1311,DNA topoisomerase II inhibitor,DNA topoisomerase II
Seliciclib,Cyclin-dependent kinase 9 inhibitor,Cyclin-dependent kinase 9
Glpg-0259,MAP kinase-activated protein kinase 5 inhibitor,MAP kinase-activated protein kinase 5
Ly-2090314,Glycogen synthase kinase-3 alpha inhibitor,Glycogen synthase kinase-3 alpha
Danusertib,Serine/threonine-protein kinase Aurora inhibitor,Serine/threonine-protein kinase Aurora
Pictilisib,PI3-kinase class I inhibitor,PI3-kinase class I
Evodenoson,Adenosine A2a receptor agonist,Adenosine A2a receptor
Ly377604,Beta-1 adrenergic receptor antagonist,Beta-1 adrenergic receptor
Velusetrag,Serotonin 4 (5-HT4) receptor agonist,Serotonin 4 (5-HT4) receptor
Serlopitant,Neurokinin 1 receptor antagonist,Neurokinin 1 receptor
Ccx168,C5a anaphylatoxin chemotactic receptor antagonist,C5a anaphylatoxin chemotactic receptor
Selurampanel,Glutamate receptor ionotropic AMPA antagonist,Glutamate receptor ionotropic AMPA
Fgf401,Fibroblast growth factor receptor 4 inhibitor,Fibroblast growth factor receptor 4
Resequinil,GABA-A receptor; benzodiazepine site inverse agonist,GABA-A receptor; benzodiazepine site
Cep-1347,Mitogen-activated protein kinase kinase kinase 11 inhibitor,Mitogen-activated protein kinase kinase kinase 11
Cep-1347,Mitogen-activated protein kinase kinase kinase 13 inhibitor,Mitogen-activated protein kinase kinase kinase 13
Cep-1347,Mitogen-activated protein kinase kinase kinase 12 inhibitor,Mitogen-activated protein kinase kinase kinase 12
Flindokalner,"Voltage-gated potassium channel, KQT; KCNQ2(Kv7.2)/KCNQ3(Kv7.3) activator","Voltage-gated potassium channel, KQT; KCNQ2(Kv7.2)/KCNQ3(Kv7.3)"
Flindokalner,Voltage-gated potassium channel KCNQ3/KCNQ4 activator,Voltage-gated potassium channel KCNQ3/KCNQ4
Afegostat,Beta-glucocerebrosidase stabiliser,Beta-glucocerebrosidase
Adecatumumab,Epithelial cell adhesion molecule inhibitor,Epithelial cell adhesion molecule
Biib067,SOD1 mRNA inhibitor,SOD1 mRNA
Solifenacin,Muscarinic acetylcholine receptor M3 antagonist,Muscarinic acetylcholine receptor M3
Enalapril,Angiotensin-converting enzyme inhibitor,Angiotensin-converting enzyme
Orphenadrine,Histamine H1 receptor antagonist,Histamine H1 receptor
Trimipramine,Histamine H1 receptor antagonist,Histamine H1 receptor
Fluphenazine,Dopamine D2 receptor antagonist,Dopamine D2 receptor
Cabergoline,Dopamine D2 receptor agonist,Dopamine D2 receptor
Chlorprothixene,Dopamine D2 receptor antagonist,Dopamine D2 receptor
Calcitonin Human,Calcitonin receptor agonist,Calcitonin receptor
Methysergide,Serotonin 2b (5-HT2b) receptor antagonist,Serotonin 2b (5-HT2b) receptor
Human Lh,Luteinizing hormone/Choriogonadotropin receptor agonist,Luteinizing hormone/Choriogonadotropin receptor
Degarelix,Gonadotropin-releasing hormone receptor antagonist,Gonadotropin-releasing hormone receptor
Levobetaxolol,Beta-1 adrenergic receptor antagonist,Beta-1 adrenergic receptor
Insulin Zinc Susp Extended Recombinant Human,Insulin receptor agonist,Insulin receptor
Ziprasidone,Serotonin 2a (5-HT2a) receptor antagonist,Serotonin 2a (5-HT2a) receptor
Mirtazapine,Serotonin 2c (5-HT2c) receptor antagonist,Serotonin 2c (5-HT2c) receptor
Azacitidine,DNA (cytosine-5)-methyltransferase 3A inhibitor,DNA (cytosine-5)-methyltransferase 3A
Aprotinin,Plasma kallikrein inhibitor,Plasma kallikrein
Pasireotide,Somatostatin receptor 3 agonist,Somatostatin receptor 3
Flurandrenolide,Glucocorticoid receptor agonist,Glucocorticoid receptor
Estradiol Cypionate,Estrogen receptor alpha agonist,Estrogen receptor alpha
Phendimetrazine,Norepinephrine transporter inhibitor,Norepinephrine transporter
Oseltamivir,Neuraminidase inhibitor,Neuraminidase
Vandetanib,Tyrosine-protein kinase BRK inhibitor,Tyrosine-protein kinase BRK
Levonorgestrel,Progesterone receptor agonist,Progesterone receptor
Vandetanib,Tyrosine-protein kinase TIE-2 inhibitor,Tyrosine-protein kinase TIE-2
Tizanidine,Adrenergic receptor alpha-2 agonist,Adrenergic receptor alpha-2
Amoxapine,Dopamine receptor antagonist,Dopamine receptor
Sulfasalazine,Cyclooxygenase inhibitor,Cyclooxygenase
Sorafenib,Vascular endothelial growth factor receptor inhibitor,Vascular endothelial growth factor receptor
Brentuximab Vedotin,Tumor necrosis factor receptor superfamily member 8 inhibitor,Tumor necrosis factor receptor superfamily member 8
Piperonyl Butoxide,Cytochrome P450 inhibitor,Cytochrome P450
Nabilone,Cannabinoid CB1 receptor agonist,Cannabinoid CB1 receptor
Reserpine,Synaptic vesicular amine transporter inhibitor,Synaptic vesicular amine transporter
Fosamprenavir,Human immunodeficiency virus type 1 protease inhibitor,Human immunodeficiency virus type 1 protease
Desmopressin,Vasopressin receptor agonist,Vasopressin receptor
Mupirocin,Isoleucyl-tRNA synthetase inhibitor,Isoleucyl-tRNA synthetase
Pentetic Acid,Radioactive metals chelating agent,Radioactive metals
Enfuvirtide,Transmembrane glycoprotein gp41 inhibitor,Transmembrane glycoprotein gp41
Imiglucerase,Glucocerebroside hydrolytic enzyme,Glucocerebroside
Ingenol Mebutate,Unknown,
Isavuconazonium,Lanosterol 14-alpha demethylase inhibitor,Lanosterol 14-alpha demethylase
Paritaprevir,"Hepatitis C virus serine protease, NS3/NS4A inhibitor","Hepatitis C virus serine protease, NS3/NS4A"
Lesinurad,Solute carrier family 22 member 12 inhibitor,Solute carrier family 22 member 12
Azd3514,Androgen Receptor modulator,Androgen Receptor
Arry-382,Macrophage colony stimulating factor receptor inhibitor,Macrophage colony stimulating factor receptor
Gsk-2256098,Focal adhesion kinase 1 inhibitor,Focal adhesion kinase 1
Me-344,Mitochondrial complex I (NADH dehydrogenase) inhibitor,Mitochondrial complex I (NADH dehydrogenase)
Msc-2363318a,Ribosomal protein S6 kinase (P70S6K) inhibitor,Ribosomal protein S6 kinase (P70S6K)
Rebastinib,Tyrosine-protein kinase ABL inhibitor,Tyrosine-protein kinase ABL
Enmd-2076,Serine/threonine-protein kinase Aurora-A inhibitor,Serine/threonine-protein kinase Aurora-A
Tideglusib,Glycogen synthase kinase-3 beta inhibitor,Glycogen synthase kinase-3 beta
Taselisib,PI3-kinase class I inhibitor,PI3-kinase class I
X-82,Vascular endothelial growth factor receptor inhibitor,Vascular endothelial growth factor receptor
Xl-281,Serine/threonine-protein kinase B-raf inhibitor,Serine/threonine-protein kinase B-raf
Xl-820,Vascular endothelial growth factor receptor inhibitor,Vascular endothelial growth factor receptor
Gsk163090,Serotonin 1b (5-HT1b) receptor antagonist,Serotonin 1b (5-HT1b) receptor
Emicerfont,Corticotropin releasing factor receptor 1 antagonist,Corticotropin releasing factor receptor 1
Pf-05212377,Serotonin 6 (5-HT6) receptor antagonist,Serotonin 6 (5-HT6) receptor
