SYNONYMS,ATC_CODE,ATC_CODE_DESCRIPTION,INDICATION_CLASS
"Fencamfamin (BAN, INN); Fencamfamin HCl (MI);",N06BA06,"N06BA06 [NERVOUS SYSTEM: PSYCHOANALEPTICS: PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS: Centrally acting sympathomimetics]",
Prulifloxacin (INN);,J01MA17,J01MA17 [ANTIINFECTIVES FOR SYSTEMIC USE: ANTIBACTERIALS FOR SYSTEMIC USE: QUINOLONE ANTIBACTERIALS: Fluoroquinolones],
"Edetic Acid (BAN, INN, NF);",,,Pharmaceutic Aid (chelating agent)
"Ketoprofen (BAN, FDA, INN, JAN, USAN, USP);",M02AA10; M01AE53; M01AE03,"M02AA10 [MUSCULO-SKELETAL SYSTEM: TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN: TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN: Antiinflammatory preparations, non-steroids for topical use]; M01AE53 [MUSCULO-SKELETAL SYSTEM: ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS: ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS: Propionic acid derivatives]; M01AE03 [MUSCULO-SKELETAL SYSTEM: ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS: ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS: Propionic acid derivatives]",Anti-Inflammatory
Vedaclidine (INN);,,,
RWJ-67657,,,
"Oxymetholone (BAN, FDA, INN, JAN, USAN, USP);",A14AA05,A14AA05 [ALIMENTARY TRACT AND METABOLISM: ANABOLIC AGENTS FOR SYSTEMIC USE: ANABOLIC STEROIDS: Androstan derivatives],Androgen
"Nepafenac (FDA, INN, USAN);",S01BC10,"S01BC10 [SENSORY ORGANS: OPHTHALMOLOGICALS: ANTIINFLAMMATORY AGENTS: Antiinflammatory agents, non-steroids]",
Gamma-Amino-Beta-Hydroxybutyric Acid (JAN);,,,
Pivoxazepam (INN);,,,
"Thioctic Acid (JAN); Lipoic acid, alpha (NF);",,,
"Atizoram (INN, USAN);",,,
"Iophenoxic Acid (MI, USP); Iophenoic Acid (INN);",,,
Ufiprazole (INN);,,,
Oxprenoate Potassium (INN);,,,
Quatacaine (INN);,,,
"Proxibarbal (INN, MI);",N05CA22,"N05CA22 [NERVOUS SYSTEM: PSYCHOLEPTICS: HYPNOTICS AND SEDATIVES: Barbiturates, plain]",
"Octazamide (INN, USAN);",,,Analgesic
Bencianol (INN);,,,
"Norgesterone (INN, MI);",,,
Midazogrel (INN);,,,
"Amitivir (INN, USAN);",,,
"Chlornaphazine (DCF, INN, MI);",,,
Gapromidine (INN);,,,
"Bencisteine (DCF, INN);",,,
Clocanfamide (INN);,,,
Cyclocumarol (MI); Cyclocoumarol (BAN);,,,
Iroxanadine (INN);,,,
Piroxicillin (INN);,,,
Tienocarbine (INN);,,,
Taprenepag Isopropyl (USAN);,,,
Furcloprofen (INN);,,,
"Etybenzatropine (BAN, DCF, INN); Ethybenztropine (USAN);",N04AC30,N04AC30 [NERVOUS SYSTEM: ANTI-PARKINSON DRUGS: ANTICHOLINERGIC AGENTS: Ethers of tropine or tropine derivatives],Anticholinergic
"Tripamide (INN, JAN, USAN);",,,Antihypertensive; Diuretic
"Itasetron (INN, USAN);",,,Antidepressant; Anti-Emetic; Anti-Anxiety Agent
"Carbubarbital (DCF); Carbubarb (INN, MI);",,,
"Dimesone (BAN, INN);",,,
"Bornelone (INN, USAN);",,,Ultraviolet Screen
Aluminum Chlorohydrex Propylene Glycol (USP);,,,Anhidrotic
"Aluminum Carbonate, Basic (USAN, USP);",,,Antacid
Yttrium Y 90 Tacatuzumab Tetraxetan (USAN); Yttrium (90Y) Tacatuzumab Tetraxetan (INN);,,,
"Talactoferrin Alfa (INN, USAN);",,,
Gastric Mucin (BAN);,,,
Technetium (99Mtc) Pintumomab (INN);,,,
Rg-7636,,,
"Poloxalene (BAN, INN, USAN, USP);",,,Pharmaceutic Aid (surfactant)
"Sodium Glucaspaldrate (BAN, INN);",,,
Silafilcon A (USAN);,,,Contact Lens Material (hydrophilic)
Nepidermin (INN);,,,
Polyoxyl Lauryl Ether (NF);,,,
Hu3f4,,,
"Cenderitide (INN, USAN);",,,
"Polyglycolic Acid (BAN, INN, USAN);",,,Surgical Aid (surgical suture material)
Bacitracin Methylene Disalicylate (USP);,,,Antibacterial; Food Additive (veterinary)
"Cellulose, Oxidized (JAN, USP);",,,Hemostatic (local)
Regavirumab (INN);,,,
"Clover, Red (NF);",,,
Litgenprostucel-L (USAN);,,,
Thymostimulin (INN);,,,
J591,,,
Mik-beta-1,,,
"Ublituximab (INN, USAN);",,,
"Ethylcellulose (INN, NF);",,,Pharmaceutic Aid (tablet binder)
Pd-360324,,,
Mdx-033,,,
Bw250/183,,,
Hexavitamin (USP);,,,
"Cedefingol (INN, USAN);",,,Antineoplastic (adjunct); Antipsoriatic
Etofamide (INN);,P01AC03,"P01AC03 [ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS: ANTIPROTOZOALS: AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES: Dichloroacetamide derivatives]",
Alifedrine (INN);,,,
Bentipimine (INN);,,,
"Niceverine (DCF, INN);",,,
"Cyamepromazine (DCF); Cyamemazine (INN, MI);",N05AA06,N05AA06 [NERVOUS SYSTEM: PSYCHOLEPTICS: ANTIPSYCHOTICS: Phenothiazines with aliphatic side-chain],
Ketoxal (INN); Kethoxal (USAN);,,,Antiviral
"Naphthonone (DCF, INN);",,,
Osmadizone (INN);,,,
"Duometacin (DCF, INN);",,,
"Prostalene (BAN, INN, USAN);",,,Prostaglandin
"Evernimicin (INN, USAN);",,,
Ioxabrolic Acid (INN);,,,
Nuclomedone (INN);,,,
Lanicemine (INN);,,,
Nerisopam (INN);,,,
Ilaprazole (INN);,,,
"Trizoxime (DCF, INN);",,,
"Dimoxyline (INN, MI);",,,
Trimetamide (INN);,,,
"Sufotidine (BAN, INN, USAN);",,,Antagonist (to histamine-H2 receptors)
"Epostane (BAN, INN, USAN);",,,Interceptive
"Demiditraz (INN, USAN);",,,
"Quinestradol (BAN, INN, MI);",,,
Spiclamine (INN);,,,
"Picilorex (INN, MI);",,,
Hemocoagulase (JAN);,,,
Ocufilcon C (USAN);,,,Contact Lens Material (hydrophilic)
"Orange Peel, Bitter (JAN);",,,
"Thrombin Alfa (INN, USAN);",,,
"Ointment, Wilson's (JAN);",,,
Ahn-12,,,
Afelimomab (INN);,L04AB03,L04AB03 [ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS: IMMUNOSUPPRESSANTS: IMMUNOSUPPRESSANTS: Tumor necrosis factor alpha (TNF-&alpha;) inhibitors],
Coccidioidin (USP);,,,Diagnostic Aid (dermal reactivity indicator)
Cenplacel-L (USAN);,,,
Digalloyl Trioleate (USAN);,,,
"Garnocestim (INN, USAN);",,,
Bevacizumab in111,,,
"Reviparin Sodium (BAN, INN);",B01AB08,B01AB08 [BLOOD AND BLOOD FORMING ORGANS: ANTITHROMBOTIC AGENTS: ANTITHROMBOTIC AGENTS: Heparin group],
Tes-c21,,,
"Metreleptin (FDA, INN, USAN);",A16AA07,A16AA07 [ALIMENTARY TRACT AND METABOLISM: OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS: OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS: Amino acids and derivatives],
Tragacanth (NF);,,,Pharmaceutic Aid (suspending agent)
4b5,,,
Denofungin (USAN);,,,Antibacterial; Antifungal
"Bencyclane Fumarate (JAN, MI); Bencyclane (INN);",C04AX11,C04AX11 [CARDIOVASCULAR SYSTEM: PERIPHERAL VASODILATORS: PERIPHERAL VASODILATORS: Other peripheral vasodilators],
"Cefaclor (BAN, FDA, INN, JAN, USAN, USP, BAN, JAN, USAN, USP);",,,Antibacterial
Diphenylpiperidinomethyldioxolan Iodide (JAN);,,,
Bisdisulizole Disodium (USAN);,,,
Noracymethadol HCl (USAN);,,,Analgesic
Tasidotin HCl (USAN);,,,
"Pentamethonium Bromide (BAN, INN, MI); Pentamethonium Iodide (BAN);",,,
Ciclotropium Bromide (INN);,,,
"Calcium Pantothenate, Racemic (USP);",,,Vitamin (enzyme co-factor)
"Tafamidis (INN, USAN); Tafamidis Meglumine (USAN);",N07XX08,N07XX08 [NERVOUS SYSTEM: OTHER NERVOUS SYSTEM DRUGS: OTHER NERVOUS SYSTEM DRUGS: Other nervous system drugs],
"Florantyrone (BAN, INN, MI);",,,
Stacofylline (INN);,,,
"Pazinaclone (INN, USAN);",,,Anti-Anxiety Agent
Iodofenphos (BAN);,,,
"Bavisant Dihydrochloride (USAN); Bavisant (INN, USAN);",,,
Climiqualine (INN);,,,
"Eclazolast (INN, USAN);",,,Inhibitor (mediator release); Anti-Allergic
"Exiproben (INN, MI);",,,
Glibutimine (INN);,,,
Anthrax Vaccine Absorbed (USP);,J07AC01,J07AC01 [ANTIINFECTIVES FOR SYSTEMIC USE: VACCINES: BACTERIAL VACCINES: Anthrax vaccines],
Hioxifilcon A (USAN);,,,Contact Lens Material (hydrophilic)
Isobutane (NF);,,,Aerosol Propellant
Gitoformate (INN);,C01AA09,C01AA09 [CARDIOVASCULAR SYSTEM: CARDIAC THERAPY: CARDIAC GLYCOSIDES: Digitalis glycosides],
"Enprostil (BAN, INN, JAN, USAN);",A02BB02,A02BB02 [ALIMENTARY TRACT AND METABOLISM: DRUGS FOR ACID RELATED DISORDERS: DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD): Prostaglandins],Antisecretory; Anti-Ulcerative
"Diampromide (BAN, DCF, INN, MI);",,,
"Gleptoferron (BAN, INN, USAN);",,,Hematinic (veterinary)
"Soap, Green (USP);",,,Detergent
Labetuzumab 90Y,,,
Dacliximab (INN);,,,
Hefilcon A (USAN);,,,Contact Lens Material (hydrophilic)
Figopitant (INN);,,,
Salprotoside (INN);,,,
"Enbucrilate (BAN, INN);",,,
"Succisulfone (DCF, INN, MI);",,,
Dinazafone (INN);,,,
Nuclotixene (INN);,,,
"Oxazorone (DCF, INN);",,,
"Piperylone (INN, MI);",,,
"Promoxolane (BAN, INN, MI);",,,
"Nisobamate (INN, USAN);",,,Tranquilizer (minor); Sedative-Hypnotic
Dulozafone (INN);,,,
Doranidazole (INN);,,,
Fampronil (INN);,,,
Asoprisnil Ecamate (INN);,,,
"Doramectin (BAN, INN, USAN);",,,Antiparasitic (veterinary)
Lotifazole (INN);,,,
Molfarnate (INN);,,,
"Furterene (DCF, INN, MI);",,,
"Lodelaben (INN, USAN);",,,Emphysema Therapy Adjunct; Anti-Arthritic
Trethocanic Acid (INN);,,,
Cinoquidox (INN);,,,
Atliprofen (INN);,,,
"Elucaine (INN, USAN);",,,Anticholinergic (gastric)
"Encyprate (INN, USAN);",,,Antidepressant
Butoxylate (INN);,,,
"Cenicriviroc (INN, USAN); Cenicriviroc Mesylate (USAN);",,,
"Cafedrine (BAN, INN);",C01CA21,C01CA21 [CARDIOVASCULAR SYSTEM: CARDIAC THERAPY: CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES: Adrenergic and dopaminergic agents],
Lidimycin (INN); Lydimycin (USAN);,,,Antifungal
Eptotermin Alfa (INN);,M05BC02,M05BC02 [MUSCULO-SKELETAL SYSTEM: DRUGS FOR TREATMENT OF BONE DISEASES: DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION: Bone morphogenetic proteins],
Ociltide (INN);,,,
"Iopydone (BAN, INN, JAN, USAN);",,,"Diagnostic Aid (radiopaque medium, bronchographic)"
"Fenbutrazate (BAN, INN, MI);",,,
"Betiatide (BAN, INN, USAN);",,,Pharmaceutic Aid
"Uridine Triacetate (FDA, INN, USAN);",A16AX13,A16AX13 [ALIMENTARY TRACT AND METABOLISM: OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS: OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS: Various alimentary tract and metabolism products],
Gemtuzumab (INN);,L01XC05,L01XC05 [ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS: ANTINEOPLASTIC AGENTS: OTHER ANTINEOPLASTIC AGENTS: Monoclonal antibodies],
Vatreptacog Alfa (Activated) (INN);,,,
Elsiglutide (INN);,,,
Witepsol (JAN);,,,
Orconazole Nitrate (USAN);,,,Antifungal
Yellow Fever Vaccine (USP);,J07BL01,J07BL01 [ANTIINFECTIVES FOR SYSTEMIC USE: VACCINES: VIRAL VACCINES: Yellow fever vaccines],Immunizing Agent (active)
"Pyritidium Bromide (BAN, INN);",,,
"Buramate (INN, USAN);",,,Anticonvulsant; Antipsychotic
Fubrogonium Iodide (INN);,,,
"Iodocholesterol (131I) (INN, USAN);",,,Radioactive Agent
Fenprinast (INN); Fenprinast HCl (USAN);,,,Bronchodilator (anti-allergic)
Betamicin Sulfate (USAN);,,,Antibacterial
Sopitazine (INN);,,,
"Perisoxal (INN, MI); Perisoxal Citrate (JAN);",,,
Ensaculin (INN);,,,
"Ioprocemic Acid (INN, USAN);",,,Diagnostic Aid (radiopaque medium)
"Lunacalcipol (INN, USAN);",,,
"Litronesib (INN, USAN);",,,
"Amphenidone (INN, MI);",,,
Trelnarizine (INN);,,,
Tropirine (INN);,,,
Cifostodine (INN);,,,
"Aceprometazine (DCF, INN);",,,
Acefurtiamine (INN);,,,
Traboxopine (INN);,,,
Murocainide (INN);,,,
"Desomorphine (BAN, DCF, INN, MI);",,,
"Rolgamidine (BAN, INN, USAN);",,,Antidiarrheal
Cinolazepam (INN);,N05CD13,N05CD13 [NERVOUS SYSTEM: PSYCHOLEPTICS: HYPNOTICS AND SEDATIVES: Benzodiazepine derivatives],
Cintramide (INN); Cintriamide (USAN);,,,Antipsychotic
Cloxotestosterone (INN);,,,
"Pirolazamide (INN, USAN);",,,Cardiac Depressant (anti-arrhythmic)
"Chloroserpidine (DCF, INN);",,,
"Cotarnine Chloride (MI, NF);",,,
Pyruvic Acid Calcium Isoniazid (JAN);,,,
"Sorbitan Tristearate (BAN, INN, USAN);",,,Pharmaceutic Aid (surfactant)
Cromoglicate Lisetil (INN);,,,
Itanoxone (INN);,,,
"Taurultam (BAN, INN);",,,
"Firategrast (INN, USAN);",,,
"Cilofungin (INN, USAN);",,,Antifungal
"Proxazole (INN, USAN); Proxazole Citrate (USAN);",A03AX07,A03AX07 [ALIMENTARY TRACT AND METABOLISM: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS: Other drugs for functional gastrointestinal disorders],"Analgesic; Anti-Inflammatory; Relaxant (smooth muscle),Anti-Inflammatory; Analgesic; Relaxant (smooth muscle)"
"Solimastat (BAN, INN);",,,
Mideplanin (INN);,,,
"Tropigline (BAN, INN);",,,
"Guanacline (BAN, INN); Guanacline Sulfate (USAN);",,,Antihypertensive
"Pivopril (INN, USAN);",,,Antihypertensive
"Butetamate (BAN, INN, MI);",,,
"Flumecinol (INN, MI);",,,
"Flutiazin (INN, USAN);",,,Anti-Inflammatory (veterinary)
Policresulen (INN);,G01AX03; D08AE02,"G01AX03 [GENITO URINARY SYSTEM AND SEX HORMONES: GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS: ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS: Other antiinfectives and antiseptics]; D08AE02 [DERMATOLOGICALS: ANTISEPTICS AND DISINFECTANTS: ANTISEPTICS AND DISINFECTANTS: Phenol and derivatives]",
Asperlin (USAN);,,,Antibacterial; Antineoplastic
Mociprazine (INN);,,,
Tiomergine (INN);,,,
Leminoprazole (INN);,,,
"Amidapsone (INN, USAN);",,,Antiviral (for poultry)
Sevopramide (INN);,,,
Propenidazole (INN);,G01AF14; P01AB05,"G01AF14 [GENITO URINARY SYSTEM AND SEX HORMONES: GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS: ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS: Imidazole derivatives]; P01AB05 [ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS: ANTIPROTOZOALS: AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES: Nitroimidazole derivatives]",
Ciapilome (INN);,,,
"Flutrimazole (BAN, INN);",G01AF18; D01AC16,"G01AF18 [GENITO URINARY SYSTEM AND SEX HORMONES: GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS: ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS: Imidazole derivatives]; D01AC16 [DERMATOLOGICALS: ANTIFUNGALS FOR DERMATOLOGICAL USE: ANTIFUNGALS FOR TOPICAL USE: Imidazole and triazole derivatives]",
Niometacin (INN);,,,
Furidarone (INN);,,,
"Ethoxazorutoside (DCF, INN);",,,
Timofibrate (INN);,,,
"Phenadoxone (BAN, DCF, INN, MI);",,,
Tefenperate (INN);,,,
Ciprefadol Succinate (USAN);,,,Analgesic
Cefmepidium Chloride (INN);,,,
"Chlorproguanil HCl (MI); Chlorproguanil (BAN, INN);",,,
Neflumozide HCl (USAN);,,,Antipsychotic
Fosfluridine Tidoxil (INN);,,,
Ketocainol (INN);,,,
Antafenite (INN);,,,
"Clometocillin (DCF, INN, MI);",J01CE07,"J01CE07 [ANTIINFECTIVES FOR SYSTEMIC USE: ANTIBACTERIALS FOR SYSTEMIC USE: BETA-LACTAM ANTIBACTERIALS, PENICILLINS: Beta-lactamase sensitive penicillins]",
"Triamcinolone Benetonide (INN, MI);",,,
Rofleponide (INN);,,,
Nofecainide (INN);,,,
Lodazecar (INN);,,,
Salafibrate (INN);,,,
"Gamfexine (INN, USAN);",,,Antidepressant
"Lobendazole (INN, USAN);",,,Anthelmintic (veterinary)
"Loprazolam (BAN, INN, MI);",N05CD11,N05CD11 [NERVOUS SYSTEM: PSYCHOLEPTICS: HYPNOTICS AND SEDATIVES: Benzodiazepine derivatives],
"Etamiphyllin (INN, MI); Dietamiphylline (DCF); Etamiphylline (BAN, INN);",R03DA06,R03DA06 [RESPIRATORY SYSTEM: DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES: OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES: Xanthines],
"Isoprednidene (BAN, INN);",,,
Glipalamide (INN);,,,
"Terofenamate (INN, MI);",,,
"Tolindate (INN, USAN);",,,Antifungal
Iometopane (123i) (INN); Iometopane 123I (INN); Iometopane I 123 (USAN);,,,Diagnostic Aid
"Cortisuzol (DCF, INN);",,,
"Propyl Docetrizoate (BAN, INN, MI);",,,
"Tasimelteon (FDA, INN, USAN);",N05CH03,N05CH03 [NERVOUS SYSTEM: PSYCHOLEPTICS: HYPNOTICS AND SEDATIVES: Melatonin receptor agonists],
"Hydroxytetracaine (BAN, DCF, INN, MI);",,,
Furomazine (INN);,,,
Piraxelate (INN);,,,
"Pimefylline (INN, MI);",,,
"Setileuton (INN, USAN);",,,
"Mazokalim (BAN, INN);",,,
"Tefazoline (DCF, INN);",,,
Prednival (USAN);,,,Glucocorticoid
Cyclindole (USAN); Ciclindole (INN);,,,Antidepressant
"Isotiquimide (BAN, INN, USAN);",,,Anti-Ulcerative
"Iobutoic Acid (DCF, INN);",,,
"Iodocetylic Acid (123I) (INN, USAN);",,,Diagnostic Aid; Radioactive Agent
"Setazindol (BAN, INN);",,,
Ipragratine (INN);,,,
"Dextrofemine (DCF, INN);",,,
"Lobeline (BAN, INN, MI); Lobeline HCl (JAN);",,,
"Fenquizone (INN, USAN);",C03BA13,"C03BA13 [CARDIOVASCULAR SYSTEM: DIURETICS: LOW-CEILING DIURETICS, EXCL. THIAZIDES: Sulfonamides, plain]",Diuretic
"Lodoxamide (BAN, INN); Lodoxamide Ethyl (USAN);",,,Anti-Asthmatic; Anti-Allergic
"Brofezil (BAN, INN);",,,
"Rifametane (INN, USAN);",,,Antibacterial
"Aganepag (INN, USAN);",,,
Cinecromen (INN);,,,
Benzquercin (INN);,,,
"Bemetizide (BAN, INN);",,,
"Temodox (INN, USAN);",,,Growth Stimulant (veterinary)
Flunamine (INN);,,,
Metazamide (INN);,,,
"Mocimycin (INN, MI);",,,
Soterenol (INN); Soterenol HCl (USAN);,,,Bronchodilator
Actinoquinol Sodium (USAN); Actinoquinol (INN);,,,Ultraviolet Screen
Danosteine (INN);,,,
Rimabotulinumtoxinb (USAN);,,,
Iodine I 124 Girentuximab (USAN);,,,
"Olmidine (DCF, INN);",,,
Dicresulene (INN);,,,
Aloracetam (INN);,,,
"Azintamide (INN, MI);",,,
Dexsecoverine (INN);,,,
Bisbutytiamine (JAN);,,,
"Ketorfanol (INN, USAN);",,,Analgesic
"Diprobutine (BAN, INN);",,,
Feprosidnine (INN);,,,
Ipramidil (INN);,,,
"Clamoxyquine (BAN, INN); Clamoxyquin HCl (USAN);",,,Anti-Amebic
Torbafylline (INN);,,,
"Quintiofos (BAN, INN);",,,
Sulfaclorazole (INN);,,,
Sulverapride (INN);,,,
"Mepitiostane (INN, JAN, MI);",,,
Indopine (INN);,,,
Palonidipine (INN);,,,
"Intrazole (INN, USAN);",,,Anti-Inflammatory
Teflutixol (INN);,,,
"Pirsidomine (INN, USAN);",,,Vasodilator
Tuclazepam (INN);,,,
"Methyldihydromorphine (DCF, INN);",,,
"Ciclosidomine (BAN, INN, MI);",,,
"Iopentol (BAN, INN, USAN);",V08AB08,"V08AB08 [VARIOUS: CONTRAST MEDIA: X-RAY CONTRAST MEDIA, IODINATED: Watersoluble, nephrotropic, low osmolar X-ray contrast media]",Diagnostic Aid (radiopaque medium)
"Xenalipin (INN, USAN);",,,Hypolipidemic
Vadocaine (INN);,,,
"Gliflumide (INN, USAN);",,,Antidiabetic
"Pagoclone (INN, USAN);",,,Anti-Anxiety Agent
"Visilizumab (INN, USAN);",,,
"Fluspiperone (INN, USAN);",,,Antipsychotic
"Tibric Acid (BAN, INN, USAN);",,,Antihyperlipoproteinemic
Litracen (INN);,,,
"Camphor, Monobromated (USP);",,,
"Camphoric Acid (MI, USP);",,,
"Acetorphine (BAN, INN);",,,
"Caproxamine (BAN, INN);",,,
Botiacrine (INN);,,,
Iferanserin (INN);,,,
Doxaminol (INN);,,,
"Pentifylline (BAN, DCF, INN, MI);",C04AD01,C04AD01 [CARDIOVASCULAR SYSTEM: PERIPHERAL VASODILATORS: PERIPHERAL VASODILATORS: Purine derivatives],
"Drobuline (INN, USAN);",,,Cardiac Depressant (anti-arrhythmic)
"Telbermin (INN, USAN);",,,
"Benzin, Petroleum (JAN);",,,
Cetuximab zr89,,,
Adrogolide (INN); Adrogolide HCl (USAN);,,,
Edaglitazone Sodium (USAN);,,,
Propiram Fumarate (USAN);,,,Analgesic
Piridocaine HCl (MI);,,,
Aplindore Fumarate (USAN); Palindore (INN);,,,
Tiprenolol HCl (USAN);,,,Anti-Adrenergic (beta-receptor)
"Vortioxetine (INN, USAN); Vortioxetine Hydrobromide (FDA, USAN);",N06AX26,N06AX26 [NERVOUS SYSTEM: PSYCHOANALEPTICS: ANTIDEPRESSANTS: Other antidepressants],
Rusalatide Acetate (USAN);,,,
"Triclobisonium Chloride (INN, MI, NF);",,,
Fantridone HCl (USAN);,,,Antidepressant
"Azacyclonol (BAN, INN); Azacyclonol HCl (MI, NF);",,,
"Levonantradol (BAN, INN); Levonantradol HCl (USAN);",,,Analgesic
Butoprozine HCl (USAN);,,,Cardiac Depressant (anti-arrhythmic); Anti-Anginal
"Carbuterol HCl (USAN); Carbuterol (BAN, INN);",R03CC10; R03AC10,"R03CC10 [RESPIRATORY SYSTEM: DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES: ADRENERGICS FOR SYSTEMIC USE: Selective beta-2-adrenoreceptor agonists]; R03AC10 [RESPIRATORY SYSTEM: DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES: ADRENERGICS, INHALANTS: Selective beta-2-adrenoreceptor agonists]",Bronchodilator
Phenisonone Hydrobromide,,,
Ditiocade Sodium (USAN);,,,
Semorphone (INN);,,,
Berlafenone (INN);,,,
"Properidine (BAN, DCF, INN, MI);",,,
"Depramine (BAN, INN);",,,
Metrafazoline (INN);,,,
"Thenyldiamine (BAN, INN, MI);",,,
"Methitural (INN, MI);",,,
"Ioglucol (INN, USAN);",,,Diagnostic Aid (radiopaque medium)
"Sulfonmethane (MI, NF);",,,
"Icometasone Enbutate (BAN, INN);",,,
"Etersalate (INN, MI);",,,
Ciclactate (INN);,,,
"Fenaftic Acid (DCF, INN);",,,
Tenosiprol (INN);,,,
"Imcarbofos (INN, USAN);",,,Anthelmintic (veterinary)
"Zilantel (INN, USAN);",,,Anthelmintic
Azetirelin (INN);,,,
"Idremcinal (INN, USAN);",,,
Furalazine (INN);,,,
"Fazarabine (INN, USAN);",,,Antineoplastic
"Framycetin (BAN, DCF, INN);",R01AX08; D09AA01; S01AA07,R01AX08 [RESPIRATORY SYSTEM: NASAL PREPARATIONS: DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE: Other nasal preparations]; D09AA01 [DERMATOLOGICALS: MEDICATED DRESSINGS: MEDICATED DRESSINGS: Medicated dressings with antiinfectives]; S01AA07 [SENSORY ORGANS: OPHTHALMOLOGICALS: ANTIINFECTIVES: Antibiotics],
"Iobenzamic Acid (BAN, INN, JAN, USAN);",V08AC05,"V08AC05 [VARIOUS: CONTRAST MEDIA: X-RAY CONTRAST MEDIA, IODINATED: Watersoluble, hepatotropic X-ray contrast media]","Diagnostic Aid (radiopaque medium, cholecystographic)"
Etasuline (INN);,,,
Nolomirole (INN);,,,
Atrimustine (INN);,,,
Mobenzoxamine (INN);,,,
"Primycin (INN, MI);",,,
Acefylline Clofibrol (INN);,,,
"Nandrolone Cyclohexylpropionate (JAN); Nandrolone Cyclotate (USAN); Nandrolone (BAN, INN);",S01XA11; A14AB01,S01XA11 [SENSORY ORGANS: OPHTHALMOLOGICALS: OTHER OPHTHALMOLOGICALS: Other ophthalmologicals]; A14AB01 [ALIMENTARY TRACT AND METABOLISM: ANABOLIC AGENTS FOR SYSTEMIC USE: ANABOLIC STEROIDS: Estren derivatives],Anabolic
"Glycerol Phenylbutyrate (FDA, INN, USAN);",A16AX09,A16AX09 [ALIMENTARY TRACT AND METABOLISM: OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS: OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS: Various alimentary tract and metabolism products],
Coumazoline (INN);,,,
Cefedrolor (INN);,,,
"Tetrazepam (BAN, DCF, INN, MI);",M03BX07,"M03BX07 [MUSCULO-SKELETAL SYSTEM: MUSCLE RELAXANTS: MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS: Other centrally acting agents]",
"Risocaine (INN, USAN);",,,Anesthetic (local)
"Fenalcomine (DCF, INN, MI);",,,
Butinazocine (INN);,,,
"Taglutimide (INN, MI);",,,
"Rolofylline (INN, USAN);",,,
Benderizine (INN);,,,
Thiohexamide (INN);,,,
"Bupicomide (INN, USAN);",,,Antihypertensive
Etofenprox (INN);,,,
Ambamustine (INN);,,,
Iolidonic Acid (INN);,,,
"Alonimid (INN, USAN);",,,Sedative-Hypnotic
Motexafin (INN);,,,
"Ditazole (INN, MI);",B01AC01,B01AC01 [BLOOD AND BLOOD FORMING ORGANS: ANTITHROMBOTIC AGENTS: ANTITHROMBOTIC AGENTS: Platelet aggregation inhibitors excl. heparin],
"Norpipanone (BAN, DCF, INN, MI);",,,
"Talmetacin (INN, USAN);",,,Analgesic; Antipyretic; Anti-Inflammatory
"Clotioxone (DCF, INN);",,,
Flotrenizine (INN);,,,
