"cID"	"DRUGS"
"latamoxef"	90	"latamoxef"
"laudanosine"	89	"laudanosine"
"leflunomide"	84	"leflunomide"
"letrozole"	67	"letrozole"
"levamisole"	52	"levamisole"
"levcycloserine"	22	"levcycloserine"
"levobunolol"	30	"levobunolol"
"levocabastine"	31	"levocabastine"
"levodopa"	19	"levodopa"
"levomepromazine"	100	"levomepromazine"
"levonorgestrel"	58	"levonorgestrel"
"levopropoxyphene"	36	"levopropoxyphene"
"levothyroxine_sodium"	5	"levothyroxine_sodium"
"lidoflazine"	13	"lidoflazine"
"liothyronine"	90	"liothyronine"
"lisinopril"	74	"lisinopril"
"lisuride"	26	"lisuride"
"lithocholic_acid"	22	"lithocholic_acid"
"lobelanidine"	19	"lobelanidine"
"lobeline"	42	"lobeline"
"lomefloxacin"	52	"lomefloxacin"
"lomustine"	104	"lomustine"
"loperamide"	100	"loperamide"
"lorglumide"	90	"lorglumide"
"lovastatin"	100	"lovastatin"
"loxapine"	40	"loxapine"
"lumicolchicine"	68	"lumicolchicine"
"luteolin"	32	"luteolin"
"lycorine"	63	"lycorine"
"lymecycline"	32	"lymecycline"
"lynestrenol"	40	"lynestrenol"
"lysergol"	32	"lysergol"
"mafenide"	29	"mafenide"
"maprotiline"	100	"maprotiline"
"mebendazole"	69	"mebendazole"
"mebeverine"	19	"mebeverine"
"mebhydrolin"	68	"mebhydrolin"
"mecamylamine"	7	"mecamylamine"
"meclocycline"	12	"meclocycline"
"meclofenamic_acid"	80	"meclofenamic_acid"
"meclofenoxate"	58	"meclofenoxate"
"meclozine"	90	"meclozine"
"medrysone"	90	"medrysone"
"mefenamic_acid"	25	"mefenamic_acid"
"mefexamide"	80	"mefexamide"
"mefloquine"	34	"mefloquine"
"meglumine"	102	"meglumine"
"melatonin"	7	"melatonin"
"memantine"	72	"memantine"
"menadione"	89	"menadione"
"mepacrine"	16	"mepacrine"
"mepenzolate_bromide"	59	"mepenzolate_bromide"
"mephenesin"	21	"mephenesin"
"mephentermine"	67	"mephentermine"
"mephenytoin"	71	"mephenytoin"
"meprylcaine"	58	"meprylcaine"
"meptazinol"	106	"meptazinol"
"mepyramine"	49	"mepyramine"
"merbromin"	27	"merbromin"
"mercaptopurine"	62	"mercaptopurine"
"meropenem"	52	"meropenem"
"mesalazine"	49	"mesalazine"
"mesoridazine"	61	"mesoridazine"
"mestranol"	99	"mestranol"
"metacycline"	32	"metacycline"
"metamizole_sodium"	90	"metamizole_sodium"
"metanephrine"	4	"metanephrine"
"metaraminol"	93	"metaraminol"
"meteneprost"	70	"meteneprost"
"metergoline"	100	"metergoline"
"metformin"	6	"metformin"
"methacholine_chloride"	13	"methacholine_chloride"
"methanthelinium_bromide"	71	"methanthelinium_bromide"
"methapyrilene"	90	"methapyrilene"
"methazolamide"	42	"methazolamide"
"methocarbamol"	5	"methocarbamol"
"methotrexate"	75	"methotrexate"
"methoxamine"	72	"methoxamine"
"methoxsalen"	103	"methoxsalen"
"methylbenzethonium_chloride"	100	"methylbenzethonium_chloride"
"methyldopa"	89	"methyldopa"
"methyldopate"	72	"methyldopate"
"methylergometrine"	73	"methylergometrine"
"methylprednisolone"	90	"methylprednisolone"
"meticrane"	74	"meticrane"
"metitepine"	100	"metitepine"
"metixene"	100	"metixene"
"metolazone"	19	"metolazone"
"metoprolol"	55	"metoprolol"
"metrifonate"	25	"metrifonate"
"metrizamide"	35	"metrizamide"
"metronidazole"	29	"metronidazole"
"metyrapone"	32	"metyrapone"
"mevalolactone"	90	"mevalolactone"
"mexiletine"	20	"mexiletine"
"mianserin"	40	"mianserin"
"miconazole"	62	"miconazole"
"midecamycin"	49	"midecamycin"
"mifepristone"	62	"mifepristone"
"milrinone"	85	"milrinone"
"minaprine"	31	"minaprine"
"minocycline"	5	"minocycline"
"minoxidil"	96	"minoxidil"
"mitoxantrone"	14	"mitoxantrone"
"molindone"	106	"molindone"
"molsidomine"	4	"molsidomine"
"mometasone"	40	"mometasone"
"monastrol"	17	"monastrol"
"monensin"	100	"monensin"
"monobenzone"	90	"monobenzone"
"monocrotaline"	4	"monocrotaline"
"monorden"	28	"monorden"
"moracizine"	87	"moracizine"
"morantel"	74	"morantel"
"moroxydine"	29	"moroxydine"
"moxisylyte"	25	"moxisylyte"
"moxonidine"	95	"moxonidine"
"mycophenolic_acid"	75	"mycophenolic_acid"
"myricetin"	104	"myricetin"
"nabumetone"	82	"nabumetone"
"nadide"	84	"nadide"
"nadolol"	27	"nadolol"
"nafcillin"	8	"nafcillin"
"naftidrofuryl"	102	"naftidrofuryl"
"naftifine"	62	"naftifine"
"naftopidil"	106	"naftopidil"
"nalbuphine"	40	"nalbuphine"
"nalidixic_acid"	93	"nalidixic_acid"
"naloxone"	90	"naloxone"
"naltrexone"	6	"naltrexone"
"napelline"	55	"napelline"
"naproxen"	74	"naproxen"
"naringenin"	43	"naringenin"
"naringin"	52	"naringin"
"natamycin"	52	"natamycin"
"neomycin"	76	"neomycin"
"neostigmine_bromide"	47	"neostigmine_bromide"
"nialamide"	22	"nialamide"
"nicergoline"	34	"nicergoline"
"niclosamide"	62	"niclosamide"
"nicotinic_acid"	102	"nicotinic_acid"
"nifedipine"	32	"nifedipine"
"niflumic_acid"	37	"niflumic_acid"
"nifuroxazide"	69	"nifuroxazide"
"nifurtimox"	90	"nifurtimox"
"nilutamide"	19	"nilutamide"
"nimesulide"	60	"nimesulide"
"nimodipine"	77	"nimodipine"
"nipecotic_acid"	74	"nipecotic_acid"
"niridazole"	41	"niridazole"
"nisoxetine"	61	"nisoxetine"
"nitrendipine"	77	"nitrendipine"
"nitrofural"	29	"nitrofural"
"nitrofurantoin"	90	"nitrofurantoin"
"nocodazole"	69	"nocodazole"
"nomegestrol"	33	"nomegestrol"
"nomifensine"	76	"nomifensine"
"norcyclobenzaprine"	100	"norcyclobenzaprine"
"nordihydroguaiaretic_acid"	34	"nordihydroguaiaretic_acid"
"norethisterone"	90	"norethisterone"
"noretynodrel"	5	"noretynodrel"
"norfloxacin"	74	"norfloxacin"
"nortriptyline"	100	"nortriptyline"
"noscapine"	7	"noscapine"
"novobiocin"	1	"novobiocin"
"nystatin"	36	"nystatin"
"octopamine"	41	"octopamine"
"ofloxacin"	93	"ofloxacin"
"oleandomycin"	61	"oleandomycin"
"oligomycin"	78	"oligomycin"
"omeprazole"	90	"omeprazole"
"ondansetron"	71	"ondansetron"
"orciprenaline"	73	"orciprenaline"
"orlistat"	19	"orlistat"
"ornidazole"	19	"ornidazole"
"orphenadrine"	100	"orphenadrine"
"ouabain"	63	"ouabain"
"oxamic_acid"	45	"oxamic_acid"
"oxamniquine"	8	"oxamniquine"
"oxantel"	5	"oxantel"
"oxaprozin"	7	"oxaprozin"
"oxedrine"	69	"oxedrine"
"oxetacaine"	31	"oxetacaine"
"oxolamine"	12	"oxolamine"
"oxolinic_acid"	64	"oxolinic_acid"
"oxprenolol"	85	"oxprenolol"
"oxybenzone"	77	"oxybenzone"
"oxybuprocaine"	90	"oxybuprocaine"
"oxybutynin"	19	"oxybutynin"
"oxymetazoline"	61	"oxymetazoline"
"oxyphenbutazone"	104	"oxyphenbutazone"
"oxytetracycline"	89	"oxytetracycline"
"ozagrel"	79	"ozagrel"
"paclitaxel"	48	"paclitaxel"
"palmatine"	52	"palmatine"
"pancuronium_bromide"	32	"pancuronium_bromide"
"papaverine"	13	"papaverine"
"paracetamol"	77	"paracetamol"
"pararosaniline"	62	"pararosaniline"
"parbendazole"	90	"parbendazole"
"pargyline"	89	"pargyline"
"paromomycin"	97	"paromomycin"
"paroxetine"	32	"paroxetine"
"parthenolide"	104	"parthenolide"
"pempidine"	59	"pempidine"
"penbutolol"	34	"penbutolol"
"pentamidine"	90	"pentamidine"
"pentetrazol"	64	"pentetrazol"
"pentolonium"	101	"pentolonium"
"pentoxifylline"	80	"pentoxifylline"
"pentoxyverine"	90	"pentoxyverine"
"pepstatin"	68	"pepstatin"
"pergolide"	16	"pergolide"
"perhexiline"	100	"perhexiline"
"perphenazine"	100	"perphenazine"
"phenacetin"	8	"phenacetin"
"phenanthridinone"	48	"phenanthridinone"
"phenazone"	31	"phenazone"
"phenazopyridine"	100	"phenazopyridine"
"phenelzine"	22	"phenelzine"
"pheneticillin"	27	"pheneticillin"
"phenformin"	58	"phenformin"
"phenindione"	74	"phenindione"
"phenoxybenzamine"	104	"phenoxybenzamine"
"phensuximide"	82	"phensuximide"
"phentolamine"	89	"phentolamine"
"phenyl_biguanide"	91	"phenyl_biguanide"
"phenylpropanolamine"	102	"phenylpropanolamine"
"phthalylsulfathiazole"	90	"phthalylsulfathiazole"
"physostigmine"	13	"physostigmine"
"picotamide"	61	"picotamide"
"picrotoxinin"	89	"picrotoxinin"
"pilocarpine"	15	"pilocarpine"
"pimethixene"	40	"pimethixene"
"pimozide"	100	"pimozide"
"pinacidil"	4	"pinacidil"
"pioglitazone"	23	"pioglitazone"
"pipemidic_acid"	19	"pipemidic_acid"
"pipenzolate_bromide"	90	"pipenzolate_bromide"
"piperacetazine"	100	"piperacetazine"
"piperacillin"	50	"piperacillin"
"piperidolate"	90	"piperidolate"
"piperine"	68	"piperine"
"piperlongumine"	40	"piperlongumine"
"piracetam"	61	"piracetam"
"pirenperone"	81	"pirenperone"
"pirenzepine"	76	"pirenzepine"
"piribedil"	82	"piribedil"
"pirinixic_acid"	65	"pirinixic_acid"
"piromidic_acid"	52	"piromidic_acid"
"piroxicam"	7	"piroxicam"
"pivampicillin"	52	"pivampicillin"
"pivmecillinam"	5	"pivmecillinam"
"pizotifen"	43	"pizotifen"
"podophyllotoxin"	100	"podophyllotoxin"
"practolol"	19	"practolol"
"pralidoxime"	31	"pralidoxime"
"pramocaine"	66	"pramocaine"
"prasterone"	90	"prasterone"
"prazosin"	33	"prazosin"
"prednicarbate"	87	"prednicarbate"
"prednisolone"	37	"prednisolone"
"prednisone"	6	"prednisone"
"prenylamine"	34	"prenylamine"
"pridinol"	46	"pridinol"
"prilocaine"	40	"prilocaine"
"primaquine"	40	"primaquine"
"primidone"	29	"primidone"
"proadifen"	34	"proadifen"
"probenecid"	8	"probenecid"
"probucol"	2	"probucol"
"procainamide"	88	"procainamide"
"procaine"	82	"procaine"
"procarbazine"	100	"procarbazine"
"prochlorperazine"	100	"prochlorperazine"
"procyclidine"	58	"procyclidine"
"profenamine"	62	"profenamine"
"progesterone"	52	"progesterone"
"proglumide"	20	"proglumide"
"proguanil"	100	"proguanil"
"promazine"	100	"promazine"
"promethazine"	90	"promethazine"
"pronetalol"	8	"pronetalol"
"propafenone"	61	"propafenone"
"propantheline_bromide"	19	"propantheline_bromide"
"propidium_iodide"	40	"propidium_iodide"
"propofol"	53	"propofol"
"propranolol"	81	"propranolol"
"propylthiouracil"	95	"propylthiouracil"
"proscillaridin"	63	"proscillaridin"
"protoveratrine_A"	13	"protoveratrine_A"
"protriptyline"	100	"protriptyline"
"proxymetacaine"	32	"proxymetacaine"
"proxyphylline"	74	"proxyphylline"
"pseudopelletierine"	19	"pseudopelletierine"
"puromycin"	40	"puromycin"
"pyrantel"	64	"pyrantel"
"pyrazinamide"	90	"pyrazinamide"
"pyridoxine"	4	"pyridoxine"
"pyrimethamine"	31	"pyrimethamine"
"pyrithyldione"	83	"pyrithyldione"
"pyrvinium"	62	"pyrvinium"
"quercetin"	3	"quercetin"
"quinethazone"	22	"quinethazone"
"quinidine"	5	"quinidine"
"quinisocaine"	100	"quinisocaine"
"quinostatin"	4	"quinostatin"
"quinpirole"	44	"quinpirole"
"racecadotril"	49	"racecadotril"
"raloxifene"	100	"raloxifene"
"ramifenazone"	84	"ramifenazone"
"ramipril"	13	"ramipril"
"ranitidine"	90	"ranitidine"
"raubasine"	100	"raubasine"
"remoxipride"	82	"remoxipride"
"repaglinide"	85	"repaglinide"
"rescinnamine"	34	"rescinnamine"
"reserpine"	99	"reserpine"
"resveratrol"	3	"resveratrol"
"retrorsine"	58	"retrorsine"
"ribavirin"	75	"ribavirin"
"riboflavin"	90	"riboflavin"
"ribostamycin"	39	"ribostamycin"
"ricinine"	7	"ricinine"
"rifabutin"	16	"rifabutin"
"rifampicin"	75	"rifampicin"
"rilmenidine"	86	"rilmenidine"
"riluzole"	101	"riluzole"
"rimexolone"	32	"rimexolone"
"risperidone"	87	"risperidone"
"ritodrine"	88	"ritodrine"
"rofecoxib"	49	"rofecoxib"
"rolipram"	102	"rolipram"
"rolitetracycline"	52	"rolitetracycline"
"ronidazole"	90	"ronidazole"
"rosiglitazone"	16	"rosiglitazone"
"rotenone"	62	"rotenone"
"rottlerin"	62	"rottlerin"
"roxarsone"	41	"roxarsone"
"roxithromycin"	74	"roxithromycin"
"salbutamol"	101	"salbutamol"
"salsolidin"	31	"salsolidin"
"salsolinol"	19	"salsolinol"
"sanguinarine"	89	"sanguinarine"
"santonin"	22	"santonin"
"saquinavir"	43	"saquinavir"
"scopolamine"	13	"scopolamine"
"scopolamine_N-oxide"	82	"scopolamine_N-oxide"
"scopoletin"	90	"scopoletin"
"scoulerine"	69	"scoulerine"
"scriptaid"	16	"scriptaid"
"securinine"	104	"securinine"
"selegiline"	95	"selegiline"
"semustine"	104	"semustine"
"seneciphylline"	95	"seneciphylline"
"serotonin"	81	"serotonin"
"sertaconazole"	90	"sertaconazole"
"simvastatin"	99	"simvastatin"
"sirolimus"	100	"sirolimus"
"sisomicin"	8	"sisomicin"
"sitosterol"	89	"sitosterol"
"skimmianine"	32	"skimmianine"
"sodium_phenylbutyrate"	1	"sodium_phenylbutyrate"
"solanine"	89	"solanine"
"solasodine"	59	"solasodine"
"sotalol"	89	"sotalol"
"spaglumic_acid"	87	"spaglumic_acid"
"sparteine"	47	"sparteine"
"spectinomycin"	99	"spectinomycin"
"spiperone"	34	"spiperone"
"spiradoline"	11	"spiradoline"
"spiramycin"	50	"spiramycin"
"spironolactone"	16	"spironolactone"
"splitomicin"	24	"splitomicin"
"staurosporine"	14	"staurosporine"
"streptomycin"	5	"streptomycin"
"strophanthidin"	63	"strophanthidin"
"succinylsulfathiazole"	96	"succinylsulfathiazole"
"sulconazole"	90	"sulconazole"
"sulfacetamide"	25	"sulfacetamide"
"sulfachlorpyridazine"	20	"sulfachlorpyridazine"
"sulfadiazine"	13	"sulfadiazine"
"sulfadimethoxine"	38	"sulfadimethoxine"
"sulfadimidine"	50	"sulfadimidine"
"sulfadoxine"	85	"sulfadoxine"
"sulfafurazole"	90	"sulfafurazole"
"sulfaguanidine"	96	"sulfaguanidine"
"sulfamerazine"	90	"sulfamerazine"
"sulfamethoxazole"	90	"sulfamethoxazole"
"sulfamethoxypyridazine"	58	"sulfamethoxypyridazine"
"sulfametoxydiazine"	32	"sulfametoxydiazine"
"sulfamonomethoxine"	83	"sulfamonomethoxine"
"sulfaphenazole"	32	"sulfaphenazole"
"sulfapyridine"	19	"sulfapyridine"
"sulfaquinoxaline"	67	"sulfaquinoxaline"
"sulfathiazole"	31	"sulfathiazole"
"sulfinpyrazone"	90	"sulfinpyrazone"
"sulindac"	91	"sulindac"
"sulindac_sulfide"	91	"sulindac_sulfide"
"sulmazole"	29	"sulmazole"
"suloctidil"	34	"suloctidil"
"sulpiride"	19	"sulpiride"
"suprofen"	30	"suprofen"
"suramin_sodium"	70	"suramin_sodium"
"suxibuzone"	55	"suxibuzone"
"syrosingopine"	4	"syrosingopine"
"tacrine"	6	"tacrine"
"tacrolimus"	91	"tacrolimus"
"talampicillin"	89	"talampicillin"
"tamoxifen"	1	"tamoxifen"
"tanespimycin"	28	"tanespimycin"
"telenzepine"	37	"telenzepine"
"tenoxicam"	97	"tenoxicam"
"terbutaline"	89	"terbutaline"
"terconazole"	92	"terconazole"
"terfenadine"	34	"terfenadine"
"terguride"	102	"terguride"
"testosterone"	13	"testosterone"
"tetracycline"	60	"tetracycline"
"tetraethylenepentamine"	45	"tetraethylenepentamine"
"tetrahydroalstonine"	6	"tetrahydroalstonine"
"tetramisole"	92	"tetramisole"
"tetrandrine"	100	"tetrandrine"
"tetroquinone"	97	"tetroquinone"
"tetryzoline"	58	"tetryzoline"
"thalidomide"	17	"thalidomide"
"thapsigargin"	40	"thapsigargin"
"theobromine"	99	"theobromine"
"theophylline"	99	"theophylline"
"thiamine"	4	"thiamine"
"thiamphenicol"	27	"thiamphenicol"
"thiethylperazine"	100	"thiethylperazine"
"thiocolchicoside"	61	"thiocolchicoside"
"thioguanosine"	32	"thioguanosine"
"thioperamide"	26	"thioperamide"
"thioproperazine"	100	"thioproperazine"
"thioridazine"	100	"thioridazine"
"thiostrepton"	104	"thiostrepton"
"tiabendazole"	32	"tiabendazole"
"tiapride"	93	"tiapride"
"tiaprofenic_acid"	95	"tiaprofenic_acid"
"ticarcillin"	67	"ticarcillin"
"ticlopidine"	62	"ticlopidine"
"tiletamine"	35	"tiletamine"
"timolol"	26	"timolol"
"tinidazole"	32	"tinidazole"
"tioguanine"	94	"tioguanine"
"tiratricol"	7	"tiratricol"
"tobramycin"	95	"tobramycin"
"tocainide"	67	"tocainide"
"todralazine"	32	"todralazine"
"tolazamide"	8	"tolazamide"
"tolazoline"	96	"tolazoline"
"tolbutamide"	89	"tolbutamide"
"tolfenamic_acid"	60	"tolfenamic_acid"
"tolmetin"	97	"tolmetin"
"tolnaftate"	27	"tolnaftate"
"tomatidine"	13	"tomatidine"
"tomelukast"	98	"tomelukast"
"tonzonium_bromide"	100	"tonzonium_bromide"
"topiramate"	5	"topiramate"
"torasemide"	41	"torasemide"
"tracazolate"	89	"tracazolate"
"tranexamic_acid"	29	"tranexamic_acid"
"tranylcypromine"	90	"tranylcypromine"
"trapidil"	54	"trapidil"
"trazodone"	90	"trazodone"
"tremorine"	13	"tremorine"
"tretinoin"	98	"tretinoin"
"triamcinolone"	7	"triamcinolone"
"triamterene"	3	"triamterene"
"tribenoside"	62	"tribenoside"
"trichlormethiazide"	99	"trichlormethiazide"
"trichostatin_A"	16	"trichostatin_A"
"trifluoperazine"	100	"trifluoperazine"
"triflupromazine"	25	"triflupromazine"
"trifluridine"	3	"trifluridine"
"triflusal"	61	"triflusal"
"trihexyphenidyl"	29	"trihexyphenidyl"
"trimetazidine"	61	"trimetazidine"
"trimethadione"	95	"trimethadione"
"trimethobenzamide"	16	"trimethobenzamide"
"trimethoprim"	101	"trimethoprim"
"trimethylcolchicinic_acid"	99	"trimethylcolchicinic_acid"
"trimipramine"	34	"trimipramine"
"trioxysalen"	32	"trioxysalen"
"triprolidine"	7	"triprolidine"
"troglitazone"	100	"troglitazone"
"troleandomycin"	49	"troleandomycin"
"tropicamide"	90	"tropicamide"
"tropine"	71	"tropine"
"tubocurarine_chloride"	61	"tubocurarine_chloride"
"tyloxapol"	90	"tyloxapol"
"tyrphostin_AG-1478"	40	"tyrphostin_AG-1478"
"tyrphostin_AG-825"	14	"tyrphostin_AG-825"
"urapidil"	102	"urapidil"
"ursodeoxycholic_acid"	85	"ursodeoxycholic_acid"
"ursolic_acid"	100	"ursolic_acid"
"valdecoxib"	18	"valdecoxib"
"valinomycin"	62	"valinomycin"
"valproic_acid"	16	"valproic_acid"
"vancomycin"	57	"vancomycin"
"vanoxerine"	53	"vanoxerine"
"velnacrine"	103	"velnacrine"
"verapamil"	49	"verapamil"
"verteporfin"	89	"verteporfin"
"vidarabine"	32	"vidarabine"
"vigabatrin"	29	"vigabatrin"
"vinblastine"	70	"vinblastine"
"vinburnine"	40	"vinburnine"
"vincamine"	56	"vincamine"
"vinpocetine"	60	"vinpocetine"
"viomycin"	27	"viomycin"
"vitexin"	92	"vitexin"
"vorinostat"	16	"vorinostat"
"withaferin_A"	104	"withaferin_A"
"wortmannin"	60	"wortmannin"
"xamoterol"	57	"xamoterol"
"xylazine"	52	"xylazine"
"xylometazoline"	90	"xylometazoline"
"yohimbic_acid"	105	"yohimbic_acid"
"zalcitabine"	106	"zalcitabine"
"zaprinast"	19	"zaprinast"
"zardaverine"	106	"zardaverine"
"zidovudine"	7	"zidovudine"
"zimeldine"	89	"zimeldine"
"zomepirac"	46	"zomepirac"
"zoxazolamine"	90	"zoxazolamine"
"zuclopenthixol"	100	"zuclopenthixol"
